<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140129,092028,4370,6027
OTP,0,20140129,092034,4370,2023
OTP,0,20140129,092037,4368,40
OTP,0,20140129,092046,4370,15
OTP,0,20140129,092053,4371,250
OTP,0,20140129,092102,4372,20
OTP,0,20140129,092102,4373,1480
OTP,0,20140129,092106,4371,14
OTP,0,20140129,092123,4371,100
OTP,0,20140129,092214,4371,800
OTP,0,20140129,092221,4372,365
OTP,0,20140129,092222,4371,736
OTP,0,20140129,092222,4370,264
OTP,0,20140129,092226,4370,1381
OTP,0,20140129,092237,4368,1500
OTP,0,20140129,092242,4368,100
OTP,0,20140129,092245,4365,1
OTP,0,20140129,092302,4367,1000
OTP,0,20140129,092320,4365,150
OTP,0,20140129,092329,4365,1200
OTP,0,20140129,092339,4365,40
OTP,0,20140129,092355,4365,110
OTP,0,20140129,092446,4365,40
OTP,0,20140129,092452,4365,22
OTP,0,20140129,092455,4366,30
OTP,0,20140129,092455,4367,10
OTP,0,20140129,092455,4368,78
OTP,0,20140129,092504,4365,222
OTP,0,20140129,092509,4367,50
OTP,0,20140129,092509,4368,178
OTP,0,20140129,092512,4365,20
OTP,0,20140129,092546,4368,40
OTP,0,20140129,092559,4368,125
OTP,0,20140129,092603,4365,23
OTP,0,20140129,092606,4368,100
OTP,0,20140129,092606,4368,1047
OTP,0,20140129,092606,4369,600
OTP,0,20140129,092606,4370,3119
OTP,0,20140129,092606,4372,50
OTP,0,20140129,092606,4373,849
OTP,0,20140129,092606,4374,617
OTP,0,20140129,092606,4375,4834
OTP,0,20140129,092606,4379,3025
OTP,0,20140129,092606,4380,6535
OTP,0,20140129,092610,4382,220
OTP,0,20140129,092612,4385,776
OTP,0,20140129,092613,4380,50
OTP,0,20140129,092613,4380,175
OTP,0,20140129,092619,4370,950
OTP,0,20140129,092619,4368,50
OTP,0,20140129,092623,4380,1575
OTP,0,20140129,092623,4368,450
OTP,0,20140129,092625,4380,1000
OTP,0,20140129,092627,4365,563
OTP,0,20140129,092632,4370,516
OTP,0,20140129,092634,4380,625
OTP,0,20140129,092635,4385,277
OTP,0,20140129,092635,4386,62
OTP,0,20140129,092635,4387,30
OTP,0,20140129,092637,4388,689
OTP,0,20140129,092649,4385,2922
OTP,0,20140129,092659,4382,35
OTP,0,20140129,092659,4384,1150
OTP,0,20140129,092700,4383,200
OTP,0,20140129,092700,4385,968
OTP,0,20140129,092710,4385,338
OTP,0,20140129,092724,4380,1500
OTP,0,20140129,092741,4380,15
OTP,0,20140129,092748,4380,1500
OTP,0,20140129,092801,4380,985
OTP,0,20140129,092803,4380,1500
OTP,0,20140129,092809,4380,14
OTP,0,20140129,092809,4380,1500
OTP,0,20140129,092822,4380,1
OTP,0,20140129,092832,4381,15
OTP,0,20140129,092841,4381,2485
OTP,0,20140129,092841,4380,1618
OTP,0,20140129,092903,4384,2000
OTP,0,20140129,092908,4384,1500
OTP,0,20140129,092911,4384,1500
OTP,0,20140129,092922,4383,100
OTP,0,20140129,092929,4381,2500
OTP,0,20140129,092929,4380,500
OTP,0,20140129,092934,4383,55
OTP,0,20140129,092944,4380,2750
OTP,0,20140129,092958,4380,393
OTP,0,20140129,093004,4380,1500
OTP,0,20140129,093005,4380,1107
OTP,0,20140129,093011,4375,200
OTP,0,20140129,093041,4380,493
OTP,0,20140129,093052,4380,20
OTP,0,20140129,093107,4380,20
OTP,0,20140129,093117,4380,1000
OTP,0,20140129,093134,4380,50
OTP,0,20140129,093203,4381,250
OTP,0,20140129,093222,4381,297
OTP,0,20140129,093223,4381,15
OTP,0,20140129,093226,4382,45
OTP,0,20140129,093226,4381,200
OTP,0,20140129,093250,4381,100
OTP,0,20140129,093310,4381,2000
OTP,0,20140129,093316,4381,138
OTP,0,20140129,093316,4380,1862
OTP,0,20140129,093321,4382,300
OTP,0,20140129,093326,4380,564
OTP,0,20140129,093332,4375,60
OTP,0,20140129,093334,4380,840
OTP,0,20140129,093355,4380,146
OTP,0,20140129,093355,4381,315
OTP,0,20140129,093355,4382,119
OTP,0,20140129,093409,4375,40
OTP,0,20140129,093455,4375,900
OTP,0,20140129,093458,4375,709
OTP,0,20140129,093459,4375,791
OTP,0,20140129,093507,4375,15
OTP,0,20140129,093515,4375,250
OTP,0,20140129,093523,4374,21
OTP,0,20140129,093523,4374,979
OTP,0,20140129,093523,4372,21
OTP,0,20140129,093548,4374,20
OTP,0,20140129,093548,4375,480
OTP,0,20140129,093549,4370,500
OTP,0,20140129,093549,4370,900
OTP,0,20140129,093613,4370,800
OTP,0,20140129,093613,4370,50
OTP,0,20140129,093614,4373,100
OTP,0,20140129,093614,4374,730
OTP,0,20140129,093620,4370,168
OTP,0,20140129,093648,4364,70
OTP,0,20140129,093648,4363,200
OTP,0,20140129,093648,4362,450
OTP,0,20140129,093648,4361,280
OTP,0,20140129,093648,4361,450
OTP,0,20140129,093648,4360,475
OTP,0,20140129,093657,4360,325
OTP,0,20140129,093659,4360,400
OTP,0,20140129,093706,4360,50
OTP,0,20140129,093706,4360,57
OTP,0,20140129,093709,4360,50
OTP,0,20140129,093709,4357,50
OTP,0,20140129,093714,4357,165
OTP,0,20140129,093714,4356,835
OTP,0,20140129,093715,4356,165
OTP,0,20140129,093715,4355,135
OTP,0,20140129,093715,4355,400
OTP,0,20140129,093828,4365,100
OTP,0,20140129,093844,4365,100
OTP,0,20140129,093848,4365,242
OTP,0,20140129,094023,4369,22
OTP,0,20140129,094121,4366,51
OTP,0,20140129,094121,4369,100
OTP,0,20140129,094121,4370,49
OTP,0,20140129,094142,4370,17
OTP,0,20140129,094210,4370,1500
OTP,0,20140129,094702,4364,278
OTP,0,20140129,094702,4365,62
OTP,0,20140129,094707,4365,46
OTP,0,20140129,094732,4361,50
OTP,0,20140129,094814,4360,200
OTP,0,20140129,094814,4363,20
OTP,0,20140129,094814,4364,230
OTP,0,20140129,094833,4360,192
OTP,0,20140129,094842,4360,100
OTP,0,20140129,094954,4363,63
OTP,0,20140129,095110,4360,92
OTP,0,20140129,095136,4360,270
OTP,0,20140129,095141,4363,137
OTP,0,20140129,095141,4364,1770
OTP,0,20140129,095141,4365,1733
OTP,0,20140129,095516,4360,216
OTP,0,20140129,095630,4356,68
OTP,0,20140129,095632,4356,332
OTP,0,20140129,095632,4355,1668
OTP,0,20140129,095650,4357,200
OTP,0,20140129,095718,4355,200
OTP,0,20140129,095747,4355,50
OTP,0,20140129,095856,4356,588
OTP,0,20140129,095903,4357,178
OTP,0,20140129,095903,4355,822
OTP,0,20140129,095906,4360,200
OTP,0,20140129,095908,4363,150
OTP,0,20140129,095908,4365,267
OTP,0,20140129,095910,4369,762
OTP,0,20140129,095945,4368,395
OTP,0,20140129,100003,4356,450
OTP,0,20140129,100003,4355,23
OTP,0,20140129,100052,4368,50
OTP,0,20140129,100052,4369,251
OTP,0,20140129,100052,4370,253
OTP,0,20140129,100245,4360,200
OTP,0,20140129,100252,4357,70
OTP,0,20140129,100319,4357,1024
OTP,0,20140129,100323,4369,31
OTP,0,20140129,100323,4370,661
OTP,0,20140129,100415,4358,50
OTP,0,20140129,100449,4368,400
OTP,0,20140129,100449,4369,296
OTP,0,20140129,100516,4365,650
OTP,0,20140129,100618,4358,703
OTP,0,20140129,100622,4356,497
OTP,0,20140129,100624,4365,929
OTP,0,20140129,100626,4365,1087
OTP,0,20140129,100627,4355,428
OTP,0,20140129,100749,4355,100
OTP,0,20140129,100818,4355,500
OTP,0,20140129,100914,4355,342
OTP,0,20140129,100914,4354,25
OTP,0,20140129,100914,4353,133
OTP,0,20140129,100937,4353,67
OTP,0,20140129,100937,4351,100
OTP,0,20140129,100937,4350,333
OTP,0,20140129,100938,4350,12
OTP,0,20140129,100944,4350,2413
OTP,0,20140129,100945,4350,240
OTP,0,20140129,101020,4350,196
